learner_id,learner_profile,completed_topics,quizzes_attempted,average_quiz_score,learning_streak,study_hours,completion_percentage,revision_sessions,coach_interactions,improvement_trend,current_domain,quiz_difficulty,pass_probability,next_quiz_pass
LRN01203,Consistent Learner,26,23,97.08,20,23.53,43.33,15,12,Improving,SQL,Hard,0.723,1
LRN01204,Casual Learner,5,3,43.04,1,5.82,8.33,3,1,Stable,Generative AI,Hard,0.19,0
LRN01205,Casual Learner,7,3,53.25,3,7.05,11.67,2,5,Improving,SQL,Easy,0.379,0
LRN01206,Consistent Learner,39,27,78.3,14,17.24,65.0,9,8,Stable,SQL,Hard,0.55,1
LRN01207,Struggling Learner,3,1,30.0,0,3.07,5.0,1,2,Declining,Python,Easy,0.078,0
LRN01208,Consistent Learner,20,13,92.56,23,19.77,33.33,6,8,Improving,MLOps,Medium,0.705,1
LRN01209,Consistent Learner,30,17,78.69,18,11.62,50.0,12,7,Improving,Generative AI,Easy,0.651,1
LRN01210,Fast Learner,45,37,98.0,26,27.39,75.0,10,10,Improving,NLP,Medium,0.857,1
LRN01211,Consistent Learner,44,35,70.37,19,10.52,73.33,10,12,Improving,MLOps,Medium,0.654,1
LRN01212,Fast Learner,37,32,98.0,18,20.38,61.67,16,7,Stable,Machine Learning,Medium,0.72,1
LRN01213,Casual Learner,20,15,47.47,0,6.61,33.33,4,3,Improving,Python,Hard,0.342,0
LRN01214,Fast Learner,43,31,98.0,16,21.87,71.67,18,15,Stable,SQL,Medium,0.745,1
LRN01215,Casual Learner,9,5,60.14,2,11.59,15.0,4,2,Stable,Python,Medium,0.355,0
LRN01216,Fast Learner,57,41,98.0,17,29.85,95.0,8,8,Improving,Python,Medium,0.876,1
LRN01217,Struggling Learner,5,3,30.21,1,3.78,8.33,0,2,Stable,SQL,Medium,0.168,0
LRN01218,Fast Learner,43,29,98.0,24,24.67,71.67,15,5,Improving,NLP,Easy,0.848,1
LRN01219,Consistent Learner,23,18,84.7,16,21.14,38.33,8,12,Improving,SQL,Hard,0.621,1
LRN01220,Consistent Learner,21,12,86.01,17,19.72,35.0,14,7,Improving,SQL,Hard,0.633,1
LRN01221,Struggling Learner,12,10,38.96,3,6.04,20.0,3,1,Declining,MLOps,Hard,0.121,0
LRN01222,Casual Learner,5,4,62.51,9,10.67,8.33,0,0,Stable,NLP,Medium,0.358,0
LRN01223,Fast Learner,46,24,98.0,21,21.66,76.67,14,10,Improving,Python,Hard,0.788,1
LRN01224,Consistent Learner,45,38,98.0,13,23.72,75.0,15,3,Improving,Python,Easy,0.822,1
LRN01225,Struggling Learner,8,6,32.57,5,2.89,13.33,3,0,Improving,MLOps,Medium,0.284,0
LRN01226,Consistent Learner,34,25,84.47,10,16.19,56.67,14,3,Stable,MLOps,Easy,0.609,1
LRN01227,Casual Learner,5,3,46.88,3,9.04,8.33,1,5,Stable,Generative AI,Hard,0.218,0
LRN01228,Struggling Learner,15,9,39.8,5,6.54,25.0,0,2,Declining,NLP,Medium,0.184,0
LRN01229,Struggling Learner,4,2,34.69,5,3.24,6.67,2,3,Declining,Machine Learning,Medium,0.119,0
LRN01230,Casual Learner,20,10,52.75,6,9.08,33.33,2,3,Improving,Machine Learning,Medium,0.435,0
LRN01231,Consistent Learner,41,35,76.32,11,12.46,68.33,10,11,Improving,Machine Learning,Medium,0.656,1
LRN01232,Fast Learner,60,31,98.0,21,27.75,100.0,19,11,Improving,Generative AI,Medium,0.917,1
LRN01233,Casual Learner,13,7,63.11,10,11.41,21.67,1,5,Stable,Python,Medium,0.395,0
LRN01234,Consistent Learner,32,20,85.65,22,17.85,53.33,8,12,Stable,Python,Easy,0.63,1
LRN01235,Fast Learner,57,48,98.0,21,33.22,95.0,19,5,Stable,NLP,Easy,0.834,1
LRN01236,Struggling Learner,7,6,33.85,2,6.29,11.67,1,0,Improving,Machine Learning,Easy,0.284,0
LRN01237,Casual Learner,7,6,47.62,7,3.6,11.67,0,3,Improving,Generative AI,Medium,0.348,0
LRN01238,Consistent Learner,33,24,98.0,25,19.29,55.0,15,12,Declining,NLP,Medium,0.639,0
LRN01239,Casual Learner,17,12,56.97,1,9.78,28.33,3,5,Declining,MLOps,Medium,0.276,0
LRN01240,Fast Learner,50,35,98.0,17,30.9,83.33,15,9,Stable,MLOps,Medium,0.79,1
LRN01241,Consistent Learner,30,18,82.7,25,13.62,50.0,5,8,Stable,SQL,Medium,0.597,0
LRN01242,Casual Learner,23,12,51.56,0,10.76,38.33,4,3,Improving,Generative AI,Medium,0.435,1
LRN01243,Casual Learner,6,4,52.24,1,5.28,10.0,5,4,Improving,SQL,Easy,0.368,0
LRN01244,Consistent Learner,41,28,65.34,12,12.32,68.33,8,10,Stable,MLOps,Hard,0.474,1
LRN01245,Fast Learner,40,32,98.0,30,21.8,66.67,11,12,Improving,SQL,Easy,0.835,1
LRN01246,Struggling Learner,0,1,39.38,2,4.07,0.0,3,0,Stable,Generative AI,Easy,0.204,0
LRN01247,Consistent Learner,37,22,85.28,12,20.53,61.67,6,4,Improving,NLP,Medium,0.703,1
LRN01248,Struggling Learner,4,3,30.0,1,1.85,6.67,0,1,Declining,Machine Learning,Medium,0.077,0
LRN01249,Struggling Learner,5,2,30.62,0,5.07,8.33,0,1,Declining,NLP,Easy,0.091,0
LRN01250,Casual Learner,8,4,57.19,4,7.72,13.33,4,4,Improving,SQL,Hard,0.36,0
LRN01251,Fast Learner,50,32,98.0,21,26.13,83.33,9,7,Improving,Python,Easy,0.853,1
LRN01252,Consistent Learner,44,26,76.26,12,11.02,73.33,14,5,Stable,Machine Learning,Hard,0.544,1
LRN01253,Consistent Learner,44,25,87.88,20,16.48,73.33,11,3,Improving,NLP,Medium,0.758,1
LRN01254,Casual Learner,9,7,56.42,8,7.31,15.0,3,5,Improving,Generative AI,Easy,0.417,0
LRN01255,Consistent Learner,20,12,74.22,12,16.26,33.33,7,3,Improving,Machine Learning,Medium,0.584,1
LRN01256,Consistent Learner,29,18,98.0,25,22.83,48.33,13,10,Improving,MLOps,Medium,0.793,1
LRN01257,Casual Learner,23,16,43.78,5,4.24,38.33,0,5,Stable,MLOps,Easy,0.301,0
LRN01258,Struggling Learner,9,7,36.0,1,5.16,15.0,2,2,Stable,Machine Learning,Easy,0.217,0
LRN01259,Casual Learner,13,7,53.49,6,5.38,21.67,5,5,Declining,MLOps,Easy,0.25,0
LRN01260,Consistent Learner,37,26,82.21,16,18.29,61.67,12,12,Stable,Machine Learning,Medium,0.627,1
LRN01261,Casual Learner,15,8,52.51,10,4.65,25.0,3,2,Improving,Generative AI,Medium,0.416,0
LRN01262,Consistent Learner,22,11,81.87,22,13.79,36.67,13,9,Stable,NLP,Medium,0.579,1
LRN01263,Casual Learner,13,6,51.38,6,7.6,21.67,1,2,Declining,Generative AI,Easy,0.238,0
LRN01264,Consistent Learner,24,20,73.15,21,12.72,40.0,5,3,Improving,Machine Learning,Easy,0.6,0
LRN01265,Casual Learner,18,9,52.24,10,4.84,30.0,4,0,Stable,Machine Learning,Easy,0.348,0
LRN01266,Consistent Learner,39,32,85.46,18,18.56,65.0,13,8,Improving,Machine Learning,Medium,0.737,1
LRN01267,Struggling Learner,12,6,34.24,4,2.42,20.0,0,1,Declining,Machine Learning,Hard,0.083,0
LRN01268,Consistent Learner,33,28,90.95,24,13.31,55.0,14,5,Improving,Python,Easy,0.743,1
LRN01269,Casual Learner,24,12,53.29,7,10.65,40.0,1,1,Declining,NLP,Easy,0.296,0
LRN01270,Struggling Learner,12,8,32.99,2,1.16,20.0,1,3,Stable,Python,Medium,0.2,0
LRN01271,Casual Learner,24,17,50.36,2,4.85,40.0,5,0,Stable,NLP,Easy,0.341,0
LRN01272,Consistent Learner,27,22,94.19,17,20.72,45.0,11,12,Improving,Generative AI,Easy,0.736,1
LRN01273,Consistent Learner,45,22,75.66,21,10.33,75.0,10,9,Improving,NLP,Easy,0.686,1
LRN01274,Consistent Learner,31,17,98.0,18,23.67,51.67,12,5,Improving,Generative AI,Medium,0.781,1
LRN01275,Fast Learner,47,25,98.0,22,24.2,78.33,9,7,Improving,Python,Medium,0.839,1
LRN01276,Fast Learner,39,25,98.0,23,32.59,65.0,10,8,Improving,Python,Medium,0.837,1
LRN01277,Casual Learner,10,5,54.77,7,5.59,16.67,3,1,Improving,MLOps,Easy,0.405,0
LRN01278,Consistent Learner,45,36,77.45,13,12.68,75.0,12,11,Improving,SQL,Easy,0.685,1
LRN01279,Struggling Learner,8,4,30.0,0,4.59,13.33,0,3,Stable,SQL,Easy,0.177,0
LRN01280,Consistent Learner,45,35,82.82,17,14.19,75.0,12,5,Improving,Generative AI,Medium,0.725,1
LRN01281,Consistent Learner,20,14,92.22,25,14.31,33.33,15,9,Stable,NLP,Hard,0.584,1
LRN01282,Consistent Learner,39,34,85.36,22,18.66,65.0,9,11,Stable,SQL,Hard,0.607,1
LRN01283,Casual Learner,16,10,53.26,1,10.58,26.67,4,3,Improving,NLP,Easy,0.421,0
LRN01284,Consistent Learner,40,30,96.7,24,21.26,66.67,14,5,Improving,Python,Hard,0.768,1
LRN01285,Consistent Learner,32,21,87.85,24,17.0,53.33,10,6,Improving,SQL,Hard,0.678,1
LRN01286,Consistent Learner,21,11,86.93,22,15.26,35.0,15,9,Stable,Generative AI,Medium,0.608,1
LRN01287,Struggling Learner,15,13,30.0,2,1.47,25.0,1,2,Declining,SQL,Medium,0.118,0
LRN01288,Fast Learner,51,33,98.0,26,21.72,85.0,8,12,Improving,Generative AI,Medium,0.853,1
LRN01289,Casual Learner,23,18,44.83,7,4.11,38.33,3,3,Declining,MLOps,Medium,0.238,0
LRN01290,Struggling Learner,4,3,41.85,3,7.53,6.67,2,3,Stable,SQL,Easy,0.24,0
LRN01291,Consistent Learner,21,14,62.23,10,10.66,35.0,7,6,Stable,SQL,Medium,0.43,0
LRN01292,Struggling Learner,6,3,30.0,0,1.0,10.0,1,0,Improving,NLP,Hard,0.191,0
LRN01293,Casual Learner,8,6,46.7,7,3.72,13.33,2,4,Stable,Machine Learning,Medium,0.273,0
LRN01294,Struggling Learner,10,8,38.41,2,5.42,16.67,1,2,Stable,Python,Medium,0.232,0
LRN01295,Struggling Learner,9,7,36.44,5,4.49,15.0,3,0,Declining,Python,Hard,0.1,0
LRN01296,Casual Learner,12,10,58.46,3,10.93,20.0,3,1,Stable,NLP,Medium,0.355,0
LRN01297,Consistent Learner,22,17,93.22,25,13.64,36.67,15,4,Improving,NLP,Hard,0.672,1
LRN01298,Consistent Learner,20,11,83.5,21,15.01,33.33,6,7,Improving,NLP,Medium,0.643,1
LRN01299,Casual Learner,14,10,47.12,2,5.19,23.33,2,1,Declining,Python,Easy,0.206,0
LRN01300,Fast Learner,52,29,98.0,17,25.29,86.67,20,15,Improving,Python,Easy,0.874,1
LRN01301,Consistent Learner,41,21,97.61,21,23.77,68.33,15,12,Improving,Python,Easy,0.829,1
LRN01302,Struggling Learner,0,1,36.73,1,6.75,0.0,1,3,Stable,Machine Learning,Medium,0.193,0
LRN01303,Casual Learner,14,7,53.33,7,4.25,23.33,4,2,Stable,NLP,Medium,0.329,0
LRN01304,Fast Learner,45,28,98.0,30,29.31,75.0,20,12,Improving,MLOps,Hard,0.849,1
LRN01305,Struggling Learner,9,5,31.75,1,5.66,15.0,1,3,Improving,Generative AI,Hard,0.227,0
LRN01306,Struggling Learner,4,3,30.66,0,2.05,6.67,2,2,Declining,NLP,Medium,0.083,0
LRN01307,Casual Learner,22,18,58.61,4,9.56,36.67,5,1,Stable,NLP,Easy,0.392,0
LRN01308,Fast Learner,60,45,98.0,20,22.29,100.0,15,12,Stable,Machine Learning,Medium,0.806,1
LRN01309,Casual Learner,18,9,62.92,9,8.93,30.0,5,1,Declining,NLP,Easy,0.329,0
LRN01310,Consistent Learner,21,14,92.97,17,23.26,35.0,13,12,Improving,SQL,Medium,0.724,1
LRN01311,Casual Learner,15,8,58.82,5,10.2,25.0,2,0,Declining,SQL,Easy,0.287,0
LRN01312,Casual Learner,21,15,52.71,6,5.46,35.0,4,4,Stable,MLOps,Hard,0.301,0
LRN01313,Casual Learner,22,13,48.09,7,5.61,36.67,0,2,Stable,Python,Medium,0.327,0
LRN01314,Struggling Learner,7,4,44.21,4,7.46,11.67,1,3,Declining,SQL,Medium,0.18,0
LRN01315,Consistent Learner,20,11,72.96,11,17.96,33.33,8,10,Improving,Python,Hard,0.534,0
LRN01316,Casual Learner,22,17,57.19,0,11.46,36.67,4,5,Stable,Generative AI,Medium,0.379,0
LRN01317,Casual Learner,22,19,50.52,4,8.95,36.67,0,1,Declining,SQL,Medium,0.261,0
LRN01318,Casual Learner,7,3,53.35,3,5.96,11.67,3,0,Declining,SQL,Medium,0.219,0
LRN01319,Consistent Learner,33,26,73.48,15,13.06,55.0,10,4,Declining,MLOps,Medium,0.469,0
LRN01320,Struggling Learner,3,2,39.3,0,6.97,5.0,1,0,Declining,SQL,Easy,0.133,0
LRN01321,Fast Learner,59,40,98.0,29,32.2,98.33,16,6,Stable,Machine Learning,Medium,0.855,1
LRN01322,Consistent Learner,26,21,84.1,18,18.18,43.33,5,12,Improving,Python,Easy,0.666,1
LRN01323,Consistent Learner,42,21,98.0,25,18.02,70.0,15,8,Stable,NLP,Easy,0.745,1
LRN01324,Casual Learner,11,8,55.94,9,4.51,18.33,5,3,Improving,MLOps,Easy,0.42,0
LRN01325,Struggling Learner,15,11,34.44,3,4.9,25.0,3,2,Improving,NLP,Easy,0.317,0
LRN01326,Fast Learner,56,49,98.0,25,33.88,93.33,14,5,Improving,Python,Medium,0.909,1
LRN01327,Fast Learner,39,32,98.0,25,26.05,65.0,9,14,Improving,SQL,Medium,0.827,1
LRN01328,Consistent Learner,23,17,83.09,19,10.82,38.33,15,5,Declining,Machine Learning,Medium,0.495,0
LRN01329,Fast Learner,51,33,98.0,30,24.18,85.0,12,9,Improving,SQL,Medium,0.882,1
LRN01330,Struggling Learner,3,1,30.0,0,3.54,5.0,2,2,Declining,Generative AI,Hard,0.032,0
LRN01331,Consistent Learner,44,37,84.14,12,18.25,73.33,13,12,Stable,MLOps,Easy,0.651,1
LRN01332,Casual Learner,6,3,50.92,6,5.81,10.0,0,5,Improving,Python,Hard,0.315,0
LRN01333,Fast Learner,50,27,98.0,26,18.72,83.33,14,13,Stable,SQL,Easy,0.774,1
LRN01334,Casual Learner,23,15,56.55,1,9.31,38.33,5,0,Improving,MLOps,Hard,0.407,1
LRN01335,Consistent Learner,33,23,74.5,18,10.08,55.0,14,6,Improving,Generative AI,Medium,0.642,1
LRN01336,Consistent Learner,31,18,85.23,23,12.04,51.67,14,7,Stable,MLOps,Medium,0.623,1
LRN01337,Consistent Learner,23,16,83.17,16,16.08,38.33,9,5,Improving,MLOps,Easy,0.65,1
LRN01338,Consistent Learner,27,14,87.04,12,21.17,45.0,15,9,Declining,Generative AI,Easy,0.542,0
LRN01339,Fast Learner,57,38,94.92,18,18.23,95.0,13,8,Improving,Python,Hard,0.788,1
LRN01340,Consistent Learner,41,34,83.33,18,17.78,68.33,12,6,Improving,SQL,Hard,0.679,1
LRN01341,Casual Learner,20,12,51.33,4,7.4,33.33,3,0,Improving,Python,Medium,0.42,0
LRN01342,Consistent Learner,23,13,91.82,14,23.22,38.33,9,7,Improving,Generative AI,Easy,0.707,1
LRN01343,Consistent Learner,27,16,85.11,18,16.74,45.0,12,9,Improving,SQL,Easy,0.687,1
LRN01344,Consistent Learner,27,21,89.02,14,24.8,45.0,6,7,Improving,Machine Learning,Hard,0.656,1
LRN01345,Consistent Learner,32,19,65.5,13,10.3,53.33,8,7,Declining,Generative AI,Hard,0.36,0
LRN01346,Struggling Learner,5,4,34.56,4,5.39,8.33,0,1,Declining,Generative AI,Medium,0.121,0
LRN01347,Consistent Learner,25,19,75.26,19,11.63,41.67,11,7,Improving,NLP,Medium,0.619,1
LRN01348,Casual Learner,16,13,48.24,7,3.86,26.67,4,1,Declining,Machine Learning,Medium,0.232,0
LRN01349,Consistent Learner,27,19,69.46,10,16.46,45.0,6,4,Improving,Python,Easy,0.579,1
LRN01350,Struggling Learner,2,1,30.62,4,1.72,3.33,3,1,Stable,Python,Easy,0.168,0
LRN01351,Consistent Learner,28,17,88.24,24,19.65,46.67,8,4,Improving,Machine Learning,Medium,0.72,1
LRN01352,Casual Learner,12,9,48.85,4,3.4,20.0,4,1,Improving,NLP,Hard,0.322,0
LRN01353,Consistent Learner,30,15,80.42,17,11.5,50.0,14,7,Stable,NLP,Medium,0.581,0
LRN01354,Casual Learner,25,14,53.59,10,8.15,41.67,2,1,Declining,MLOps,Easy,0.303,0
LRN01355,Fast Learner,44,24,98.0,29,25.83,73.33,11,14,Stable,SQL,Medium,0.779,1
LRN01356,Casual Learner,18,11,39.99,1,4.39,30.0,1,3,Improving,SQL,Medium,0.34,0
LRN01357,Fast Learner,59,32,95.91,17,20.68,98.33,10,11,Stable,Machine Learning,Medium,0.768,1
LRN01358,Struggling Learner,10,6,38.62,1,7.2,16.67,1,3,Declining,Machine Learning,Medium,0.156,0
LRN01359,Struggling Learner,0,1,36.61,2,2.37,0.0,3,3,Stable,MLOps,Easy,0.185,0
LRN01360,Casual Learner,22,14,58.22,1,11.55,36.67,4,3,Declining,SQL,Easy,0.306,0
LRN01361,Struggling Learner,4,2,30.0,0,2.68,6.67,0,1,Declining,Python,Easy,0.077,0
LRN01362,Fast Learner,40,32,98.0,30,18.75,66.67,11,7,Improving,Generative AI,Easy,0.824,1
LRN01363,Consistent Learner,40,30,94.03,20,18.2,66.67,12,5,Improving,Python,Medium,0.78,1
LRN01364,Casual Learner,5,2,53.57,0,10.77,8.33,0,2,Stable,Python,Easy,0.294,0
LRN01365,Struggling Learner,3,2,38.59,4,4.07,5.0,2,0,Declining,MLOps,Easy,0.133,0
LRN01366,Consistent Learner,23,12,91.64,19,21.92,38.33,9,7,Improving,MLOps,Medium,0.715,1
LRN01367,Consistent Learner,44,32,67.25,15,11.15,73.33,9,11,Improving,Python,Medium,0.629,1
LRN01368,Fast Learner,36,22,98.0,23,18.05,60.0,11,11,Improving,Generative AI,Easy,0.79,1
LRN01369,Consistent Learner,23,13,72.82,14,13.54,38.33,9,11,Improving,Machine Learning,Medium,0.589,0
LRN01370,Casual Learner,6,3,48.54,0,7.97,10.0,5,3,Stable,Generative AI,Medium,0.277,0
LRN01371,Casual Learner,5,2,57.13,10,9.95,8.33,4,1,Declining,Python,Hard,0.214,0
LRN01372,Consistent Learner,37,32,88.13,10,23.73,61.67,9,7,Improving,NLP,Medium,0.728,1
LRN01373,Consistent Learner,32,21,88.08,16,20.77,53.33,13,4,Improving,SQL,Medium,0.727,1
LRN01374,Consistent Learner,25,14,84.27,19,17.83,41.67,11,7,Improving,MLOps,Easy,0.68,1
LRN01375,Casual Learner,18,12,42.8,4,4.92,30.0,2,0,Stable,MLOps,Medium,0.285,0
LRN01376,Casual Learner,14,11,54.31,0,10.8,23.33,1,3,Stable,Generative AI,Medium,0.33,0
LRN01377,Struggling Learner,0,1,36.42,3,5.68,0.0,3,2,Stable,Generative AI,Hard,0.148,0
LRN01378,Struggling Learner,0,1,40.58,5,6.4,0.0,0,2,Declining,Machine Learning,Medium,0.137,0
LRN01379,Consistent Learner,42,32,67.46,20,10.92,70.0,5,7,Stable,SQL,Easy,0.546,0
LRN01380,Struggling Learner,11,9,30.0,4,2.36,18.33,2,2,Declining,SQL,Hard,0.065,0
LRN01381,Casual Learner,19,14,47.99,1,7.74,31.67,4,0,Stable,MLOps,Medium,0.318,0
LRN01382,Fast Learner,55,46,98.0,22,23.49,91.67,8,11,Declining,Generative AI,Medium,0.701,1
LRN01383,Struggling Learner,12,6,30.25,4,1.67,20.0,3,0,Declining,Python,Medium,0.12,0
LRN01384,Consistent Learner,37,23,69.45,10,11.92,61.67,8,9,Improving,MLOps,Easy,0.602,1
LRN01385,Fast Learner,58,33,98.0,15,33.43,96.67,17,15,Stable,SQL,Hard,0.767,1
LRN01386,Casual Learner,8,4,60.78,10,10.84,13.33,4,2,Improving,Generative AI,Medium,0.453,1
LRN01387,Casual Learner,18,13,41.11,2,4.75,30.0,1,4,Improving,Machine Learning,Medium,0.349,0
LRN01388,Fast Learner,36,25,98.0,24,29.82,60.0,10,13,Improving,Machine Learning,Medium,0.829,1
LRN01389,Consistent Learner,35,24,95.31,23,24.03,58.33,11,3,Stable,NLP,Medium,0.714,1
LRN01390,Fast Learner,41,26,98.0,16,32.87,68.33,16,8,Improving,Python,Medium,0.84,1
LRN01391,Fast Learner,58,34,98.0,20,21.62,96.67,20,8,Improving,NLP,Medium,0.89,1
LRN01392,Casual Learner,20,15,52.68,7,8.64,33.33,3,4,Improving,Generative AI,Hard,0.389,0
LRN01393,Struggling Learner,3,2,30.67,4,2.69,5.0,0,3,Stable,MLOps,Hard,0.118,0
LRN01394,Consistent Learner,33,24,74.38,17,10.69,55.0,15,8,Improving,Machine Learning,Medium,0.643,1
LRN01395,Casual Learner,6,3,55.04,9,7.57,10.0,4,5,Stable,Python,Medium,0.327,0
LRN01396,Consistent Learner,45,37,88.42,23,12.48,75.0,14,12,Improving,Generative AI,Medium,0.766,1
LRN01397,Casual Learner,19,13,47.57,8,3.81,31.67,2,1,Stable,Generative AI,Easy,0.316,0
LRN01398,Fast Learner,35,28,98.0,24,31.13,58.33,17,14,Declining,SQL,Easy,0.684,1
LRN01399,Casual Learner,12,8,52.38,2,5.65,20.0,3,3,Improving,Generative AI,Medium,0.387,1
LRN01400,Consistent Learner,32,24,90.24,24,19.6,53.33,11,3,Improving,Generative AI,Hard,0.7,1
LRN01401,Consistent Learner,27,23,87.83,21,14.89,45.0,15,6,Improving,Generative AI,Medium,0.708,1
LRN01402,Struggling Learner,0,1,38.98,3,7.28,0.0,0,1,Declining,Python,Medium,0.128,0
LRN01403,Fast Learner,53,32,98.0,19,30.97,88.33,14,15,Improving,NLP,Medium,0.883,1
LRN01404,Struggling Learner,6,4,33.61,3,1.1,10.0,3,0,Stable,SQL,Hard,0.14,0
LRN01405,Consistent Learner,44,31,71.01,16,11.8,73.33,9,9,Stable,Machine Learning,Hard,0.521,0
LRN01406,Struggling Learner,0,1,40.42,1,6.83,0.0,3,1,Declining,Generative AI,Medium,0.135,0
LRN01407,Fast Learner,36,19,98.0,27,19.99,60.0,16,8,Stable,Machine Learning,Hard,0.69,1
LRN01408,Fast Learner,37,22,98.0,16,24.38,61.67,17,15,Improving,MLOps,Medium,0.811,1
LRN01409,Casual Learner,25,16,52.88,9,7.7,41.67,3,5,Declining,SQL,Medium,0.298,0
LRN01410,Struggling Learner,14,7,39.88,2,4.1,23.33,3,1,Declining,MLOps,Medium,0.173,0
LRN01411,Casual Learner,24,19,44.87,0,4.23,40.0,4,0,Stable,NLP,Hard,0.256,0
LRN01412,Struggling Learner,2,1,37.92,2,6.38,3.33,0,3,Stable,SQL,Easy,0.204,0
LRN01413,Fast Learner,39,22,98.0,25,34.22,65.0,13,7,Improving,NLP,Medium,0.85,1
LRN01414,Fast Learner,40,20,98.0,17,29.53,66.67,17,7,Stable,SQL,Hard,0.711,1
LRN01415,Consistent Learner,34,19,87.33,21,17.44,56.67,11,4,Stable,Generative AI,Easy,0.648,1
LRN01416,Fast Learner,40,33,98.0,25,32.7,66.67,8,7,Improving,Python,Medium,0.841,1
LRN01417,Fast Learner,49,33,98.0,23,21.48,81.67,9,11,Improving,NLP,Medium,0.84,1
LRN01418,Consistent Learner,25,21,81.13,15,11.13,41.67,15,4,Improving,SQL,Easy,0.643,1
LRN01419,Consistent Learner,33,22,83.24,20,12.57,55.0,12,12,Stable,SQL,Hard,0.56,1
LRN01420,Struggling Learner,5,3,37.23,2,4.8,8.33,3,0,Declining,MLOps,Easy,0.133,0
LRN01421,Casual Learner,25,17,48.9,10,6.86,41.67,0,3,Declining,NLP,Easy,0.273,0
LRN01422,Casual Learner,9,5,49.35,0,10.74,15.0,2,0,Stable,SQL,Easy,0.293,0
LRN01423,Consistent Learner,25,12,81.39,22,11.29,41.67,15,8,Declining,Python,Medium,0.503,0
LRN01424,Fast Learner,37,20,98.0,20,26.89,61.67,9,14,Declining,Generative AI,Hard,0.6,1
LRN01425,Consistent Learner,41,29,89.88,23,14.03,68.33,14,12,Stable,SQL,Easy,0.684,1
LRN01426,Struggling Learner,1,1,42.37,5,7.66,1.67,1,3,Declining,Generative AI,Hard,0.105,0
LRN01427,Consistent Learner,39,23,80.22,12,15.07,65.0,15,4,Improving,NLP,Hard,0.641,1
LRN01428,Fast Learner,55,47,98.0,26,25.5,91.67,10,8,Improving,SQL,Medium,0.884,1
LRN01429,Fast Learner,54,47,98.0,27,25.68,90.0,20,6,Improving,NLP,Medium,0.909,1
LRN01430,Consistent Learner,24,18,95.92,23,22.86,40.0,13,10,Stable,Machine Learning,Medium,0.682,1
LRN01431,Struggling Learner,1,1,36.66,4,6.53,1.67,2,0,Declining,SQL,Medium,0.126,0
LRN01432,Struggling Learner,11,8,40.23,3,6.29,18.33,3,2,Improving,Python,Easy,0.334,0
LRN01433,Fast Learner,58,33,98.0,26,23.82,96.67,12,9,Improving,NLP,Easy,0.893,1
LRN01434,Casual Learner,14,10,51.3,3,4.67,23.33,5,1,Declining,NLP,Hard,0.184,0
LRN01435,Struggling Learner,3,2,36.83,1,3.38,5.0,2,0,Stable,Machine Learning,Medium,0.195,0
LRN01436,Fast Learner,45,26,98.0,20,24.61,75.0,14,14,Improving,Generative AI,Medium,0.841,1
LRN01437,Consistent Learner,36,18,80.45,22,11.59,60.0,10,8,Improving,NLP,Hard,0.634,1
LRN01438,Fast Learner,45,22,98.0,24,30.85,75.0,12,8,Improving,MLOps,Hard,0.815,1
LRN01439,Fast Learner,38,22,98.0,30,33.54,63.33,10,5,Improving,SQL,Easy,0.853,1
LRN01440,Casual Learner,11,7,45.69,1,6.55,18.33,2,2,Stable,Python,Easy,0.272,0
LRN01441,Casual Learner,11,5,63.62,7,10.36,18.33,5,4,Stable,Machine Learning,Easy,0.389,1
LRN01442,Consistent Learner,24,12,82.72,13,20.46,40.0,9,4,Improving,Generative AI,Medium,0.658,1
LRN01443,Casual Learner,21,17,52.06,0,7.26,35.0,4,5,Improving,Machine Learning,Easy,0.418,1
LRN01444,Consistent Learner,44,31,80.27,15,15.22,73.33,7,8,Stable,NLP,Easy,0.616,1
LRN01445,Casual Learner,21,12,57.94,7,6.74,35.0,4,3,Improving,MLOps,Medium,0.462,0
LRN01446,Casual Learner,13,8,53.95,5,7.87,21.67,5,4,Declining,MLOps,Hard,0.208,0
LRN01447,Consistent Learner,29,25,82.61,13,24.37,48.33,6,9,Stable,Python,Hard,0.549,0
LRN01448,Casual Learner,16,8,57.19,9,8.75,26.67,5,1,Stable,Python,Medium,0.376,0
LRN01449,Fast Learner,35,20,98.0,30,23.51,58.33,8,13,Improving,SQL,Medium,0.816,1
LRN01450,Consistent Learner,36,26,91.48,22,17.87,60.0,11,12,Improving,MLOps,Hard,0.707,1
LRN01451,Consistent Learner,40,22,91.51,19,21.83,66.67,15,9,Improving,Generative AI,Hard,0.736,1
LRN01452,Struggling Learner,9,7,32.67,0,2.46,15.0,1,1,Stable,SQL,Easy,0.188,0
LRN01453,Consistent Learner,24,17,86.86,10,23.18,40.0,15,7,Stable,Python,Medium,0.612,1
LRN01454,Consistent Learner,26,18,97.01,24,20.76,43.33,10,3,Improving,MLOps,Easy,0.761,1
LRN01455,Casual Learner,16,14,52.4,5,7.32,26.67,2,5,Improving,SQL,Medium,0.412,1
LRN01456,Struggling Learner,10,8,31.23,0,2.0,16.67,3,3,Declining,NLP,Easy,0.108,0
LRN01457,Casual Learner,8,6,46.8,2,8.81,13.33,0,3,Declining,MLOps,Easy,0.192,0
LRN01458,Casual Learner,10,5,54.98,0,11.61,16.67,2,1,Stable,Generative AI,Easy,0.324,0
